Reviewer,Rating,Date,Review
Hans,3,7/31/2023 4:00,"UI nya sebetulnya oke hanya agak counter intuitive di pembayaran, agak sulit via gopay yang mana kalo ke counter langsung jauh lebih cepat. Mungkin transisi dari pembayaran app bk ke app seperti dana ato gopay bisa lebih smooth"
Maychee Risole,5,7/28/2023 8:59,resto kesukaan kami
Viper Centurion,1,7/27/2023 12:20,"Subtotal 80k (non pajak/deliveri) diskon 30% = diskon 14k, gila matematikanya"
ppipit,5,7/26/2023 9:58,"memudahkan banget untuk aku yang kadang suka bingung kalau mau pesan secara face to face. jadi bisa leluasa pilih menu di apk, belum lagi promo kupon bulanan, bantu banget buat jajan hemat di BK. sejauh ini puas sih"
Michael Samuel,1,7/23/2023 3:21,"Beli paket burger waktu subuh, udah bayar pakai ovo, eh tiba� di cancel sepihak dari outlet karena kelamaan nunggu driver gaje, dan sampai skrg uangnya belum dikembalikan juga ke account ovo saya. Kalau buat kembaliin uangnya harus pakai klaim sana-sini, mending kalian hapus saja apps ini, tampilan aja bagus, tapi integrasinya luar biasa kacau"
Andy Sunarto,1,7/23/2023 1:33,"Tidak bisa di pakai. Sudah di lokasi BK tapi promo perlu apps tapi apps tidak bisa di pakai. Banyak notif mengganggu dan iklan dalam apps, kurang di rekomen"
Rahman Mulyadi,2,7/20/2023 20:36,"Selalu saja tidak bisa ketika ingin digunakan pakai Dana,"
chrysman yoel,3,7/20/2023 15:36,"Tolong tambahkan pembayaran cash, aps sempat tidak dapat membeli dengan promo tanpa adanya error / pemberitahuan. Status pesanan received (abu-abu) tetapi di outlet jg tidak muncul. Mohon tambahkan message error bila tdk masuk / gagal pesanan. Karena sangat membingungkan dari sisi pembeli dan outlet."
Cen Cent,4,7/19/2023 11:28,Mohon di perbaiki untuk pemberian nota. 15 kata saja tidak cukup. Terima kasih
d o r a b e n n y,5,7/19/2023 11:14,too simple
Lusiana Marbun,5,7/19/2023 7:03,Good taste
Arintya Malikus,5,7/16/2023 6:14,mudah dalam penggunaannya
mike lie,5,7/15/2023 6:58,first try
WIE.1E.5HIN.3E “][ W153E ][” iW1Nat4-ChaJ3Di,3,7/9/2023 16:18,"For overall, it's good - but sometimes it's gone hell to south. Why ur GPS easily jammed nor blocked like that? (Cant find my location, 'no store near you' error box). Pl1z f1x d4t! And we loooove so very much n many sayur/veggies in our burgiez!"
Tua Parulian,5,7/3/2023 12:14,"The people at BK Panam can't be more helpful. Courteous, patient, and we'll, helpful. Sure, they aim for as many sales as they can make but it's nice that they go about doing it kindly. Well done, BK PANAM."
Davinci,1,7/2/2023 4:43,Apa ini? Sudah kupon bulanan di hilangkan dari app. Sekarang redeem kupon pake crown gk bs di pake untuk delivery harus ke lokasi BK.
Edhi Hartanto,4,6/30/2023 14:17,Where is app monthly coupons? I just have my coupons in my app.
Maisya The One,5,6/28/2023 1:41,kwerenzz
Andrianto,1,6/26/2023 10:39,1 karna promo mu hanya php...
Stefani Stefani,1,6/26/2023 5:16,"Download untuk dapet voucher diskon dll, tapi setiap mau pakai voucher (nyoba di 3 cabang berbeda) diskon dari app selalu di persulit, nunggu bisa 30menit panggil manager,atau sistem lg error, atau staff nya gag tau voucher ini exist, awalnya bilang ga bisa di cabang ini padahal ada tulisan untuk semua cabang. Lebih baik gag usah instal kalau kode voucer /promonya gag bisa di pakai/dipersulit."
Bayu Budi Utomo,3,6/24/2023 17:11,"Like it, it's just that please add a cashless by online payment menu. I rarely even almost never use the four payment method options offered..... It's really very unfortunate"
Bebatikan Jogja,5,6/24/2023 3:17,Great app
GMA Channel,5,6/23/2023 7:54,daging sapinya terasa bangetttt.... beda dari yg lainnnn
Faisal Anfasah,2,6/21/2023 12:13,I dont get promo. And my crown doesnt add everytime i ordered from this app
Aglonema Palembang,1,6/20/2023 16:16,BK palembang ga bisa delivery.
Achmad,5,6/18/2023 14:16,okeee
Wahyu Tri Pamungkas,1,6/10/2023 13:26,Pelayanan Burger King Bintaro Jaya Xchange tgl 10/06/2023 Jam 20:21 an.Meldiana JUDES KASIR nya. Tidak Ramah.
ignaz anto,5,6/2/2023 5:09,mantap
Gamal Febri,5,6/1/2023 12:02,Lewat aplikasi banyak promonya. thanks BK
Darryl Palit,5,5/30/2023 13:40,kakangkung
Gunadi Kesumo,5,5/30/2023 12:52,Angus Burgernya enak
Gusniarjo Mokodompit,5,5/28/2023 10:17,keren
Indra Bima,5,5/27/2023 14:12,Good apps for get cheapest price on burger king
Eva Rostika,1,5/27/2023 7:05,"Setelah pilih menu, harga sudah terlihat sekaligus dengan harga ppn, ongkir dan packaging fee, tapi setelah pilih alamat, harga makanan jadi berbeda dan muncul harga packaging fee dan ppn lagi. Jadi bayarnya double 😭"
Firman S.,2,5/22/2023 18:41,"Di ulasan playstore aplikasi dari pihak developer selalu diadakan update tiap malam baru buka lagi jam 1 malam, ditungguin sampai jam 1 malam beneran bisa order lagi tapi roti untuk XL nya kok bisa habis setelah pemesanan? itu update buat apa kalau bukan update stok?"
Harutomo Seto,1,5/20/2023 18:40,Deliveries waiting for about 1 hour... Even thought the location is very close
made januada,5,5/18/2023 10:04,good
Tjhin Kenrick (Kenn),1,5/15/2023 12:28,"terrible app, i can't even order food"
dipya christy,5,5/14/2023 2:51,oke
Andy Mulia,1,5/12/2023 16:56,"Although the store is available, the app say the store is closed. The crew announced that the application would reactivate again at 1 AM. 24/7 store business hours. and Apps that don't update when a store opens are worthless apps."
Ferry Ferdiansyah,1,5/10/2023 11:42,"Udah gk ada burger vegetarian,.. Mengecewakan"
fortune brother,5,5/10/2023 10:01,nice
Alvin Gozali,1,5/6/2023 18:18,"Tidak bisa pesan, setiap pesan setelah bayar langsung di cancel"
Sigit Kurniawan,5,5/6/2023 7:20,nice
tippi royhan,5,5/5/2023 9:07,Salah satu rujukan resto cepat saji terbaik
AA I,3,5/4/2023 0:08,"Aplikasinya bagus banyak promosinya, hanya untuk take away agak konyol kalau hanya 200m, mending langsung aja ke outlet. Seharusnya bisa lebih fleksibel dengan menu pencarian outlet. Masalah fresh atau tidak itu resiko pembeli karena pilih outlet yang jauh."
jroe 19,5,5/1/2023 1:54,simply to order
Irba 7 Future,5,4/30/2023 11:50,one of the best Indonesian fast food
Ysrn Toto,5,4/30/2023 4:01,good
Don Mochino,1,4/29/2023 5:08,"Belasan kali dalam 2 hari minta verification code, nggak ada 1 pun yang datang. Uninstall."
Yusuf Jayadi,4,4/21/2023 4:10,order cancelled by store and my money not returned.
Aditya ADN14,5,4/21/2023 3:39,Keren. Membangun relasi dg customer via app.
muby achiever,1,4/19/2023 11:27,"APLIKASI SIALAN gabisa dipake redeem, dicoba dibeberapa outlet, beda hari, beda bulan, jawabannya lagi error.. uninstall dan jgn makan lg di burger king. Lebih baik mcd dan kfc."
Reni Meidawati,5,4/19/2023 5:00,1st installation and so far running smoothly
booleenaa room,4,4/17/2023 23:49,Nice
Richi,5,4/16/2023 9:45,Lebih murah daripada beli di layanan lain. Banyak promonya. Thankyou
elnatan halim,1,4/16/2023 5:17,Aplikasi yang tidak bisa buat liat menu. Untuk preorder harus jarak 200m tetapi itu pun tidak berfungsi.
Daud Marihot Aditia,4,4/15/2023 8:08,i love your float
Agy Vahrezi,5,4/14/2023 14:47,ntap
8C_13_FARZANA HANANIA,5,4/12/2023 7:52,very good application
LLEWELLYN Mr,5,4/8/2023 8:53,Loved it
Jonathan Suryanto,5,4/8/2023 7:41,"Udh ga bisa pesan, saat mau bayar selalu ada tulisan "" invalid code"""
syanan cheshire,3,4/3/2023 13:35,can't pay with DANA
Christopher B Karambut,5,4/3/2023 12:20,Good aps
Fort Minor,5,4/3/2023 6:06,Gak dapat solusi juga email di cs :(
Antie,1,4/1/2023 2:10,Promo tidak sesuai yg di email
Arie Margana,5,3/29/2023 11:51,nice
NVD Razor,5,3/27/2023 16:02,oke mantab
Paul Asido,5,3/22/2023 5:03,"Tolong tambahkan fitur/field bayar parkir ojek online di aplikasi, untuk menghindari drama."
Yos Kelvin,5,3/19/2023 5:20,"Aplikasinya oke, cepat dan responsif dan order sangat cepat terdaftar di layar orderan di restoran juga utk dine-in. BIsa tolong perbolehin pemakaian voucher lebih dari satu? Misalnya yg memang dapat dr daily gift juga bs digunakan bersama dgn voucher diskon BK nya. Trims BK."
Eko Pambudi,4,3/18/2023 17:09,"aplikasinya simpel, mudah dimengerti. sistem poinnya menarik, biaya buat delivery bisa lebih murah dari gofood, dan vocer diskon aplikasinya juga menarik, tapi sayang untuk aplikasi yang fokus pembayarannya cashless masih belum menerima pembayaran kartu kredit/debit VISA. Agak ribet kalo bayar harus top up dulu."
Restia Einzberg,3,3/17/2023 16:35,Bingung mau liat menu aja kok gaada optionnya
Agustinus Mursid Prananto,5,3/17/2023 12:05,my favorite burger
chew hou ming,5,3/15/2023 21:36,good
Flaubert Zhang,1,3/15/2023 7:27,my poin suddenly dissappear and the apps always error
amilamuf,1,3/12/2023 15:04,Pesenan kelar 21.10 tp smpe jam 10 tulisannya 0minute sampai tapi ditunggu di dpn rumah ada x 15mnt g ad yg nongol trus di tracking masih berkilo2meter.. dan dr td gonta ganti driver sprtinya g ad yg mw pick up. Ini kerja samanya sameday apa instant sbnrnya. mesen lwt app ga rekomen bgt mendingan di grabfood atau gofood lgsg.. nyari driver aj sejam sdri blm otw ambilnya otw anternya.. smpe rmh dah dingin x tuh burger
Nicholas Wuryanto,5,3/12/2023 13:12,Nice
Armando Sundjaja,5,3/12/2023 10:20,Aplikasinya mudah untuk digunakan...
Paulus Suswanto,5,3/9/2023 14:45,"king of burger, I love burger, and burger king is the best"
tjakrabirawa1,1,3/9/2023 5:35,Coupons can just disappear
Alriefky Walangadi,3,3/9/2023 4:26,Tidak bisa bayar harus dibetulkan
Firman Wahyudi,1,3/8/2023 21:49,tidak ada pilihan pembayaran dengan kartu debit atau kredit dan akun saya selalu di blok secara sepihak tanpa alasan tiba2 ga bs dapat reward. Padahal saya pemakaian wajar seperti biasa
Val Fedora,1,3/8/2023 4:18,The web said the promo is for BK app exclusive but it doesn't even exist on the store nor the application itself
adjie Saka,5,3/7/2023 15:11,good
Malvin Salim,5,3/5/2023 4:32,"seamless, great UI"
Heri Yanamarta,4,3/5/2023 3:28,Aplikasi user friendly dan cepat
D R,5,3/4/2023 7:52,"For Restaurant: very excellent Restaurant, nice place, with excellent price & good quality flavour too. Please keep on the value level food & drinks for family. About Apps: nice but little buggy sometimes. Thanks!"
Susan Huang,3,3/3/2023 12:15,"Kapok saya belanja pake apps. Dana sudah terpotong pakai Ovo. Pesanan tidak diproses. Setelah telpon sana sini, baru diproses refund jg akhirnya. Ga bakal belanja lewat apps lagi deh. Kapok"
Dindandut Say,1,3/2/2023 11:37,Setiap mau masuk diminta untuk register. Selanjutnya malah dibilang email sudah terdaftar. Ya emang udah daftar. Menu loginnya dimana?
Yoshi,3,3/1/2023 12:19,"Tidak semua staff kasir menanyakan member BK. Setelah belanja bbrp x, baru ada seorang staff yg tanya no HP member"
Radityami,4,2/27/2023 6:28,Good apps for fastfood. You can early order.
Arung Sanjaya,5,2/25/2023 10:02,Free Discount and Bonuses Coupons
teguh widodo,5,2/22/2023 6:49,owesome app
ningsih ratna,5,2/19/2023 5:42,Setia order tiap minggu
Trison “Autism” Autezz,5,2/19/2023 2:51,Amogus
Anton,1,2/14/2023 13:22,"Paket valentine tidak dapat di gunakan pada hari valentine, semua promo tidak dapat di gunakan dengan alasan tidak bisa scan, useless"
Firmansyah Joseph Agus T.,1,2/12/2023 18:44,Aplikasi nya jelek. Pesanan ga bisa dicancel padahal orderan nya uda dibayar tapi ga dikirim lebih dari 2 jam. Mau hubungi call center juga ga aktif padahal tulisnya 24 jam.
queenme maria,1,2/11/2023 6:31,Ga ada sms notifikasi. Ga bisa daftar
Maifa Reni,5,2/9/2023 9:37,Worth it
William Vt,3,2/7/2023 14:27,"Untuk notes cuma bisa input 15 karekter termasuk spasi, mau kasih notes ke pesanan jadi susah :(. Untuk pre order harus ada di radius 200m dari restoran, kalo udah 200m mending saya dateng langsung dong? Saya ga paham untuk fitur ini sih. Selain itu sudah bagus semua, bekerja dengan baik dan saya belum menemukan kendala."
Ferdy Hardwiyanto,5,2/7/2023 7:46,very useful
Nov Mustain,1,2/7/2023 7:31,"What a nightmare! Cihampelas walk is a few miles away from my home, and my order was like taking from Dubai"
Yudhas,2,2/6/2023 16:09,blm make mentok d verify sms ga ada ditungguin
Cielo Catz,5,2/4/2023 22:25,delicious ...mantapp
Anindya Zulatsari,1,2/4/2023 15:58,Bayar lewat shopeepay udah berhasil tapi sama app nya ga diproses.
Dicky Dikman,5,1/28/2023 3:53,Ok n good service
Yuni 514,5,1/27/2023 12:23,besttt
Danny Praditya,1,1/26/2023 5:19,"Ngasih kupon ga niat, masa gabisa dipake di hari kamis"
Aryassa,1,1/24/2023 22:56,Otp is not working
onionbutts,5,1/23/2023 7:57,"aplikasinya berguna. karena ada sistem task dan rewards nya, mudah penggunaannya juga, dan banyak promo menarik!"
Mohamad Ali,3,1/20/2023 12:35,"One thing that really lacks from this app is the ability to contact them directly via phone call or email. I had a few issues before with the apps themselves or with the food (not what I ordered) and need to call, which is taking too long."
deny wahyudi,5,1/20/2023 3:54,good job
Happy Ri Sanji,2,1/16/2023 13:25,"Percuma dapet bk crown kalo ga bisa di tukar kan Kemarin saya punya points ceritanya sama mbak"" nya yang jaga di pencetin tukar terus tiba-tiba orangnya bilang ga bisa di tukar dek padahal ada tulisannya tukarkan di gerai terdekat Kejadiannya di burger king di Kediri mall"
Daniel Sutanto,5,1/16/2023 9:14,easy to use
Ferah Julia,1,1/11/2023 12:10,"ini kupon reward saya expired gara2 Aplikasinya gak bisa terus. Kesel, kan poin saya yg ditukan kupon reward jadi terbuang sia2."
Dr. Valentine Eri Aoyama,1,1/10/2023 23:47,"Aplikasinya nge bug di redmi note 10s stuck di cart, lalu lsg menutup (force close) sendiri, tolong diperbaiki dong, berbulan2 gak ada tanggapan bahkan sampai saya ke storenya langsung, cuma iya iya aja tanggapannya, ini udah sejak juni 2022 loh laporannya"
lazy cat,3,1/10/2023 9:42,"The app keeps crashing, sorry. It was great before, but now every time I clicked the cart button it couldn't calculate my purchase and it just stopped working."
Yuuki Y,1,1/10/2023 4:21,I can't open the app
Austin Nicholas Tham,1,1/8/2023 20:18,"Udh pesan, ada kendala lalu dibatelin dan uang ga balik, udh 2 jam saya pesan gaada kabar, outlet jg di tlp ga bs"
Andy Lau,1,1/8/2023 7:49,"Menunya GA update, GA sesuai dengan promo Yang Ada Di FB"
Hery Haerudin,5,1/7/2023 6:53,Great apps for ordering this..
Oh No,5,1/6/2023 2:52,okei
ina arifin,5,1/3/2023 3:09,fave place for my child
Chiquitita Wardhani,1,1/1/2023 14:02,aduh burger king plant based kenapa ditiadakan ? tetap ada doongggg!!! itu salah satu menu fav vegetarian. kecewa banget saya kata BK cinere ditiadakan dari pusat.
adeppe,4,1/1/2023 1:59,"bintang 4 dulu ya.. tolong dong tambahin info Expired Crown di halaman depan, sampai kapan, biar inget, gak hangus, cepat bgt sih cuma 3bln, dan tlg tambahin jg metode pembayaran lainnya, QRIS dll"
Eky,5,12/27/2022 11:01,nice app.. but i had a little problem to login that i cant receive the OTP for log in..
nurul chamidah,3,12/27/2022 5:26,"Secara umun aplikasinya oke. Hanya saja pembelian delivery akhir akhir ini via app selalu di cancel, kalau pake app luar malah diterima. Yg lebih sedih, tukar crown juga ilang karena cm berlaku sehari, karena di cancel mulu.. kupon penukaranpun lenyap."
ndaru febrian,5,12/27/2022 4:11,ok
Dewi Anugrah,5,12/25/2022 15:27,good
Sepriani Kani,5,12/25/2022 6:08,good.... well service
arrie selembe0009,5,12/25/2022 3:31,good app
Rafael Dranne,1,12/21/2022 3:31,"Sudah 8 kali saya coba memesan dan selalu setiap selesai pembayaran selalu di cancel di apps nya, saya sudah coba komplain di email tapi tidak di balas. Awal2 saya pake berfungsi dengan baik saya sudah 2 kali pesan. Saat itu outletnya yg di sawangan the park. Tapi setelah dipilihkan oleh apps outlet yg sawangan parung jadi bermasalah seperti ini. Tolong di perbaiki dong biar pelanggan bisa menerima pelayanan yg baik"
Melly Aryadi,1,12/21/2022 3:12,not user friendly
Yanuariza Adityawan,1,12/16/2022 5:12,banyak bug
Hendra Kusuma Wardhana,5,12/15/2022 13:46,"best burger, keep a side old competitor which fail to keep the old great taste"
muhammad faisal,5,12/15/2022 5:19,great app
Insyaf Sabar haryanto,3,12/15/2022 0:24,"Tried many times to get OTP code, not working"
Handy Putra,5,12/10/2022 16:12,ok
anno droid,1,12/10/2022 12:41,"Should be negative star. Stupid app, pesen Burger baru diantar 2 jam kemudian, gak bisa chat di app. Outlet aeon BSD yg paling stupid."
Scholastica van der Berg,5,12/10/2022 6:58,"app nya sangat user friendly & no buffering. sayangnya kode kupon tidak bisa digunakan untuk makanan yang ""discount""/items yang sudah dimasukkan ke kategori kupon bulanan. well biar tidak rugi mungkin ya.. oh iya masukan nya mungkin payment method bisa ditambah, misal langsung via bca virtual account"
Ria Anna,5,12/8/2022 1:06,good
Yogi H,4,12/7/2022 11:52,"Good UI/UX, but no Credit Card Payment? Come on guys.."
kent dezkin official,3,12/6/2022 9:36,"klo ada pesan suka ga dibaca, dulu minta tissue aza ga dikasih"
Johan -,5,12/4/2022 10:45,Excellent
Singgih Abimanyu,3,12/4/2022 5:11,Appnya bagus tp pas nukerin kupon malah bingung dulu tp tbtb jawab gabisa. Burgerking sudirman pekanbaru
Yesayas Tampubolon,5,12/1/2022 7:14,Mantap jiwa!
Ruthless Flames,5,12/1/2022 7:07,"Dari semua app makanan cepat saji di Indo, app BK ini paling bagus. Performa bagus, UI keren, UX nyaman, integrasi nya cepat antar online payment. Ga ada obat"
Ayoe Surya,5,11/29/2022 9:50,ready .. so yummmy
Suci Hasrianti Supardi,5,11/28/2022 9:15,good app
Aditia Afandi,1,11/27/2022 13:55,Really bad
Muhammad Baja Aksha,1,11/27/2022 8:56,"Email already in used. Baru install aplikasi, login gimana?"
Joy T,5,11/25/2022 17:57,burgernya enak
cokro budiwi,3,11/20/2022 3:34,"Susah sekali delivery dari cabang citra land, terutama jika pakai promo, semoga bisa di perbaiki di masa yg akan datang."
Elliot Richardo H (Eric),1,11/18/2022 14:15,Di pakuwon mall surabaya sudah berminggu-minggu gak bisa redeem reward alasan sistem error.
denar jamhuri,5,11/18/2022 9:28,ok sangat membantu
Khoe Vivian,1,11/17/2022 7:35,My order was paid by Gopay but immediately cancelled by BK without any explanation :-(( This is very disappointing...
hp handoko,1,11/17/2022 6:02,"Kapok,sekalinya pakai malah orderan jd gk jelas...selesai komen lsg uninstall"
Araya dua,5,11/16/2022 12:08,good
oland martlando,5,11/16/2022 5:12,So far so good
Pandu Gaming,5,11/14/2022 22:15,Okay apps. Ez.
James Santoso,5,11/13/2022 16:27,Mantap
Abu Fath,5,11/12/2022 13:32,please advice bagaimana nyambungkan dg aplikasi grab?
Mikael Nakano,5,11/10/2022 11:53,"Awesome good food, thankYou"
Wayan S,1,11/8/2022 22:57,"I already have account, but they dont give us change to login. Only sign up for new account."
James Lendou,5,11/7/2022 3:55,mantul
MJ Zeek Daniels,1,11/7/2022 0:11,"I installed the app because I saw references to it in Grab, but I cannot receive an OTP to complete the registration."
nfsalsa,5,11/6/2022 13:18,"Good apps, eyes cathing too, hope it runs well�"
nikko pebriyan,5,11/5/2022 15:53,Ssmoga bagus
Zaenal Arifin,1,11/5/2022 5:29,"Lama banget, udh hampir satu jam kagak nyampe2...."
Mediana Horvejkul,5,11/3/2022 7:49,gooddd
Henryco Putra,5,11/2/2022 5:30,"aplikasi mudah digunakan, poin juha menarik"
Yudha Nugraha,1,10/30/2022 6:16,"Lawak juga pilih menu diskon 50% s&k gaboleh menu promo, sedangkan kalo menu promo lebih murah jauh dri pada pake voc 50% terus gunanya tuh voucher apaan gblk"
Angel Roses,5,10/30/2022 6:03,good
Mahendra Oktaviandhi Rahman,3,10/29/2022 11:28,"Gak bisa order ice cream sundae di applikasi (tidak ada pilihannya), dan hari ini 29-oct fusion cookies cream tidak bisa order di app infonya tidak tersedia tapi order di lokasi bisa. Tolong dibenerin"
zamal ppln,5,10/29/2022 0:13,you get a free coupon every day
Devi Novita,5,10/28/2022 6:08,"Good app, UI/UX design are simple and easy to use. So much better than m*delivery lol"
rhey,2,10/28/2022 5:46,"Aplikasi bagus dari segi desain, akan tetapi toko tidak terlihat menyediakan qr code untuk order instore, sehingga fitur pre order lebih bermanfaat dan fitur order in store terlihat seperti pajangan belaka"
Bachtiar Mahyudin,5,10/27/2022 9:28,mantab
intan ayuni,5,10/26/2022 8:37,oke
eki susanto,1,10/20/2022 9:27,"Ini saya yang tidak melihat, atau memang hanya ada Gabung Sekarang (daftar baru)? Sedangkan saya sudah member sebelumnya..."
Eka Samudra,5,10/17/2022 12:06,great
Kelwin Johnson,5,10/16/2022 21:09,Kelwin 12
Yusuf Bagus Anggara,5,10/15/2022 11:18,mantap
Alexander Roni (NYIEX),1,10/14/2022 22:19,"Kerja sama dengan gojek utk delivery melalui gosend, CACAT SISTEM! ORDERAN JAUH LEBIH LAMA D ANTAR OLEH DRIVER-DRIVER BRENGSEK, makanan sampai dingin beku"
Siska W,5,10/13/2022 7:21,very good
Tri Sumarto,5,10/12/2022 0:15,mantappu
henoch thomas,5,10/11/2022 7:25,easy and fun
Lukman Hakim,5,10/11/2022 4:07,.. muantaaaabz ..
Zulfi Romulo Hamonangan Samosir,1,10/7/2022 13:24,"Parah, karena reward dihabisin dan transaksi berkali kali akun di blokir, gak bisa dipakai alasannya transaksi maksimal 5 kali dalam seminggu. Tapi cs lain mengatakan maksimal 7 kali dalam sehari. Kalau gak niat promo hapusin saja ini aplikasi, kita juga download hitung bayar"
Ricco Armando,5,10/7/2022 4:46,oke
Gilank CZ,1,10/5/2022 15:33,promo yg ada di applikasi tidak disosialisasikan dengan baik ke staf2 di lapangan
Marsienno Sulistio,1,10/5/2022 11:48,"Pembayaran berhasil tapi order di cancel pihak burger king, baru pertama x pake appsnya, sangat mengecewakan. Saya akan uninstall."
Trisdan Renair,1,10/5/2022 10:03,"Ke logout dan tak bisa masuk lagi, karena tidak ada pilihan login, hanya daftar baru. Tidak ada opsi ganti nomor"
Nisma Mediya,5,10/3/2022 2:52,my first order runs very smooth even it reditrected in prompt response to our epayment channel
Erwin Farihin NL,5,10/1/2022 13:58,i lost my point due to already over limit time
Vino Nurhalim,1,9/30/2022 10:51,BK jelas2 ada outlet di jalan utama di Bandar Lampung yaitu di Jl. Raden Intan. Tapi di app ini tidak terdaftar. Sayang sekali.
Nirwan Uvandy,5,9/30/2022 10:15,good
Romy Aulia,5,9/29/2022 12:48,better than ***food
Hana Wulan,5,9/29/2022 5:41,"Nice apps, love it ga ribet�"
Lukman Arifin,1,9/29/2022 5:15,Tidak bisa log in. Di bilangnya session expired
Tristina Nana,5,9/28/2022 22:50,kereen
Darlin Oey,5,9/26/2022 6:00,Kenapa ngeshakenya susah bener� mesti terbang dulu hp nya kah
Urban Tracker,1,9/25/2022 7:33,No further step of registering as a new member.. it always notified to wait after a minute an OTP phone number registration!
Nathan Hansel,1,9/23/2022 7:39,Halaman Kupon Eror. Kupon yang di dapat tidak muncul di halaman kupon.
ranger smart,5,9/22/2022 1:23,nice apps
Fuad M. Akbar,1,9/20/2022 11:53,"Dulu bisa delivery pick point alamat dan menambahkan detail alamat untuk delivery, sekarang malah tidak bisa. Alhasil berkali-kali mau pesan via BK APP gagal terus.."
Herlina Sari Siswanto,1,9/18/2022 12:41,"App yang sangat buruk. Masalah pengantaran, gojeknya ganti2, mau ditelp malahan orangnya beda. Outlet tidak bisa dihibungi. Sangat tidak memuaskan"
Evi Purnamasari,4,9/18/2022 9:07,I have difficulties to use coupon available on app BK
Riva Nasution,5,9/18/2022 6:42,great apps.. easy to use
Lusiani Widianto,5,9/16/2022 15:18,good service
jo han,1,9/15/2022 11:55,Tdk bisa digunakan untuk delivery order.
Lingga Yoewono,5,9/15/2022 9:17,Nice app easy to make order
Risma S,5,9/14/2022 8:22,oke
S. E. Vidrio,3,9/12/2022 9:55,"Aplikasi yang baik, tapi tidak ada banyak pilihan untuk bayar jadi jarang bisa dipakai tanpa pilihan biaya yang cocok."
Nano Rudianto,5,9/11/2022 9:34,cepat
Lim William,1,9/11/2022 4:54,Kuponnya tidak pernah bisa dipakai Aplikasi abal-abal untuk mendapatkan data konsumen Sampah
Mawas Radika,5,9/10/2022 5:19,cool apps
Aryn harny,5,9/8/2022 14:26,kebanyakan syarat promonya
ki diha,5,9/7/2022 17:11,ferry good
Alfandro Supit,1,9/6/2022 5:24,"Detail about the driver position is not related with current condition, and why it takes so much time to get replacement of the driver who has cancel to pick it up before. Also there is no response from the store, call icon has no use at all."
Kopiko Bet,5,9/3/2022 6:17,mantap
cornelius djono,5,9/2/2022 5:54,good
Nunu Setia Nugraha,5,9/1/2022 6:06,cool aps
singits tole,1,8/28/2022 6:34,"Ada permasalahan pengantaran di lempar ke customer...pesanan 1,5 jam lebih tidak ada info kalau ada masalah pangantaran/delivery, customer telp call center baru di info. Customer hanya memesan makanan delivery...ketika BK terima dan terkendala pengantaran dengan rekanan usaha BK jangan minta solusi ke customer. Ganti rakanan antar product anda... 2 jam 20 menit makanan baru saya terima"
David Pit,1,8/24/2022 14:44,"Aplikasi perlu diperbaiki, karena tidak bisa membaca peta alamat tujuan, sehingga order tidak bisa dilanjut prosesnya"
Dhymas Julyan Riyanto,5,8/24/2022 6:45,great
Maria Widjaya,5,8/20/2022 12:41,Great App
Muhammad Fadillah Rezha Ferianto,1,8/18/2022 9:55,"Kalau bisa, ukuran aplikasi hanya maksimal 5 MB saja karena cuma menjalankan hal mudah."
Stevie F Jaya,4,8/18/2022 4:39,sangat user friendly
Irene 9,1,8/17/2022 7:20,"LAMA BANGET, nunggunya hampir 2 jam, ini lapernya udah kelewat, makanan dateng udah ga laper lagi. PARAH!"
Erfan Achmad,5,8/17/2022 6:21,good
The Rachmat Squad,5,8/14/2022 11:33,I love this!
triyoewono siswardiyanto,5,8/14/2022 9:38,Good app
Adrian Nouval,1,8/13/2022 11:52,"Aplikasi Rusak, sistem delivery gajelas. Estimasi waktu jam berapa pas di klik track beda lagi, di track jga uda 1 menit tapi ga berubah2 waktunya sampe 5 menit."
dita rakhmadina,1,8/12/2022 12:28,Aplikasi sendiri tapi pihak resto gak bisa melihat nomor driver yang pickup. Masa harus customer yang nelpon driver kalau pesanannya gak diambil2? Gak ada standar waktu pick up delivery order. Makanan saya udah dingin nyampe rumah. Es di minuman udah mencair.
Gading Larasati,5,8/12/2022 12:17,good app
Dendy Fathony,5,8/6/2022 4:37,banyak promo let's go
Nur Alif Triawan Dirgantara,2,8/5/2022 11:16,"Sudah 1 bulan setiap pesan delivery via app tidak bisa dilayani👎 Sudah lama menunggu, selalu muncul ""Pesanan tidak dapat di proses"", ""Driver tidak dapat ditemukan"""
Isma Mariatin,1,8/4/2022 12:27,"Payah!!! Gak punya kurir sendiri, pake gosend jadinya agak lama."
Andy Tandy,2,8/4/2022 10:52,"Puyeng cara bayarnya, hanya ada 4 opsi dan semua nya epayment. Kalo hp ga punya epayment ga usah beli hehehe, ngirit :)"
Tiviana Lubis,5,8/1/2022 23:44,Burgernya lembut & enak..
Iwayrendra Upzz,5,7/28/2022 6:32,good
Zack,4,7/28/2022 4:38,tambahkan payment cc
Jr Aninon,5,7/26/2022 11:30,Enak milo nyaa
imsdesignmultimedia,5,7/24/2022 9:44,good
Dommy Angka,5,7/24/2022 6:06,Pembayaran dgn OVOnya kok bermasalah yah? *Update: ternyata harus di konfirm di aplikasi OVO-nya :)
PaNen GiZi,3,7/24/2022 2:43,Diskon terlalu KeciL
