"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;
"1895559147011391936,""Fri Feb 28 19:43:29 +0000 2025"",""0"",""@NickJFreitas Hahahahaaha!"",""1895560475364245787"","""",""NickJFreitas"",""tl"",""Amarillo, TX"",""0"",""0"",""0"",""https://x.com/ForeBellum/status/1895560475364245787"",""1296158223565828098"",""ForeBellum""";;;;;;
"1895559716102947103,""Fri Feb 28 19:40:28 +0000 2025"",""0"",""Kode promo refferal fore coffee diskon 50% max 35k 3x transaksi bisa menu minuman &amp";" makanan semua varian menu untuk pengguna baru yaps!!! A0BCAE Fore coffee belasan ribu aja seng Kalo kesusahan masukin referral nya bisa dm aku yaaa manieszzz #zonauang #zonajajan https://t.co/YTfSYYnrwc"",""1895559716102947103"",""https://pbs.twimg.com/media/Gk5hgvRWsAAfwSH.jpg"","""",""in"",""Palembang"",""0"",""0"",""0"",""https://x.com/hopeeblueside/status/1895559716102947103"",""1227609279395291137"",""hopeeblueside""";;;;;
"1895484190176776622,""Fri Feb 28 19:16:55 +0000 2025"",""0"",""@gatriwara Lucifer tongkrongannya ternyata anak-anak fore yaa? "",""1895553789257748836"","""",""gatriwara"",""in"",""Ariko Ryandika♡"",""0"",""1"",""0"",""https://x.com/catherinebluu/status/1895553789257748836"",""1361733323333111809"",""catherinebluu""";;;;;;
"1895542950287073645,""Fri Feb 28 19:05:53 +0000 2025"",""0"",""@snugvle HAH SUMPAH GATAU......im not a coffee person‍️‍️tadi ya pesen americano aja ga ada arabic-arabicnya atau apalah itu. kata temenku punya kopken lebih light gitu rasanya jadi masih berasa segerr peachnya. kalau punya fore strong banget rasa amenya"",""1895551012251000990"","""",""snugvle"",""in"",""19"",""0"",""1"",""0"",""https://x.com/mqahkota/status/1895551012251000990"",""766274383518326784"",""mqahkota""";;;;;;
"1895546429760004479,""Fri Feb 28 18:47:41 +0000 2025"",""0"",""wishlist gue ntar penelitian ke sby wlpn sehari: sushi go reddog fore ini kyknya bakalan nambah lgi ntar drh mikir dlu"",""1895546429760004479"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/rlyfih/status/1895546429760004479"",""1262718295737683968"",""rlyfih""";;;;;;
"1895538978667024505,""Fri Feb 28 18:18:04 +0000 2025"",""19"",""JOJO DAJA SI HAN KTO FORE LOQKA JEMM JOOO"",""1895538978667024505"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/DreamyD81039/status/1895538978667024505"",""1892225820338343937"",""DreamyD81039""";;;;;;
"1895533253723111512,""Fri Feb 28 17:55:19 +0000 2025"",""0"",""Closingan pake fore large sz ternyata sebvah kesalahan. Ngga bisa tidoorrrrr. Huft Untung besok blm ikut puasa "",""1895533253723111512"","""","""",""in"",""Surakarta, Jawa Tengah"",""0"",""0"",""0"",""https://x.com/belsxxx_/status/1895533253723111512"",""1246087184995586053"",""belsxxx_""";;;;;;
"1895522405126455775,""Fri Feb 28 17:12:13 +0000 2025"",""0"",""Yg mau minum kopi / matcha fore coffee yuk download appnya &amp";" daftar pake kode 52BAB5 biar dpt voucher 50% maks 35rb!! Kpn lg butterscotch sea salt latte / matcha green tea jd 15rb? Menu yg lain jg bs"",""1895522405126455775"","""","""",""in"",""full thread:"",""0"",""0"",""0"",""https://x.com/cupidhoneymoon/status/1895522405126455775"",""1649420658785353736"",""cupidhoneymoon""";;;;;
"1895520982393344055,""Fri Feb 28 17:08:40 +0000 2025"",""0"",""Pikirku dia pulang kerja balik rumah paling dijemput jam 7 an biasanya kalo mau ketemu juga gitu. Ternyata salah kawan doi nyusulin jam 5 dari tempat kerjanya langsung ke fore"",""1895521514214343000"","""",""_put18"",""in"","""",""0"",""1"",""0"",""https://x.com/_put18/status/1895521514214343000"",""1764622715590467584"",""_put18""";;;;;;
"1895520982393344055,""Fri Feb 28 17:06:33 +0000 2025"",""0"",""Tadi sore memang niat nongkrong di fore sambil nungguin pacarku yg katanya mau nemenin. Sepanjang pacaran emang paling susah bilang jemput aku sampe tadi akhirnya memutuskan buat chat bilang jemput aku yaa nantii "",""1895520982393344055"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/_put18/status/1895520982393344055"",""1764622715590467584"",""_put18""";;;;;;
"1895479582733856791,""Fri Feb 28 17:05:42 +0000 2025"",""0"",""@hotamericano920 Tadi sebelah Fore ada Gacoan. Mau mam tapi takut pas puasa malah diare"",""1895520768664223835"","""",""hotamericano920"",""in"",""BE - D"",""0"",""1"",""0"",""https://x.com/esteamaniss/status/1895520768664223835"",""1031366565919248384"",""esteamaniss""";;;;;;
"1895442572883218434,""Fri Feb 28 16:52:45 +0000 2025"",""0"",""@jiubora @kredivo Kak sekarang gimana?"",""1895517509518049772"","""",""jiubora"",""in"",""Since 2021"",""0"",""1"",""0"",""https://x.com/tinystaar/status/1895517509518049772"",""759644152262864897"",""tinystaar""";;;;;;
"1895163067669061820,""Fri Feb 28 16:45:48 +0000 2025"",""0"",""@salmonbellyss ada fore buat pelariann"",""1895515759226601646"","""",""salmonbellyss"",""in"","""",""0"",""1"",""0"",""https://x.com/gakboyeh/status/1895515759226601646"",""1204518408"",""gakboyeh""";;;;;;
"1895478904573559251,""Fri Feb 28 16:25:18 +0000 2025"",""1"",""@varaprive podo mbeduk entuk fore tapi gaenek banyune"",""1895510599909650882"","""",""varaprive"",""in"","""",""0"",""0"",""0"",""https://x.com/temporaryhels/status/1895510599909650882"",""1256702999805587462"",""temporaryhels""";;;;;;
"1895507065222943120,""Fri Feb 28 16:13:50 +0000 2025"",""0"",""@PFHUWIN tukeran yuk kamu ngasih aku fore aku ngasih kamu esteh cekek"",""1895507714316575066"","""",""PFHUWIN"",""in"","""",""0"",""1"",""0"",""https://x.com/kuhroasi/status/1895507714316575066"",""3295143739"",""kuhroasi""";;;;;;
"1895500561694560530,""Fri Feb 28 15:57:51 +0000 2025"",""0"",""@ceritadungimut Cimut minumnya fore tp kalo kedung kopikap ya"",""1895503690444034270"","""",""ceritadungimut"",""in"","""",""0"",""1"",""0"",""https://x.com/rifkinism/status/1895503690444034270"",""1088731864729153537"",""rifkinism""";;;;;;
"1895500561694560530,""Fri Feb 28 15:55:49 +0000 2025"",""0"",""@ceritadungimut Princess ternyata anak fore️"",""1895503181066785072"","""",""ceritadungimut"",""in"","""",""0"",""0"",""0"",""https://x.com/aloettaz/status/1895503181066785072"",""4848698478"",""aloettaz""";;;;;;
"1895482340593537520,""Fri Feb 28 15:44:55 +0000 2025"",""0"",""@uncegl Weiii fore ku mana???"",""1895500436033155213"","""",""uncegl"",""in"",""Jawa Timur, Indonesia"",""0"",""0"",""0"",""https://x.com/Ren_Rawinaira/status/1895500436033155213"",""1684919963931619328"",""Ren_Rawinaira""";;;;;;
"1895499537659359242,""Fri Feb 28 15:41:21 +0000 2025"",""1"",""Teri hasti bht pehle mit chuki hai convert....tere baap dadao ka asli naam ramlal tha....jinko tu baap maan rahi h...wo teri fore mothers ke violaters hai So basically you are celebrating r@pists of your own mothers.... I pity you"",""1895499537659359242"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/Soldier2201/status/1895499537659359242"",""1679500487786364931"",""Soldier2201""";;;;;;
"1895498365343092937,""Fri Feb 28 15:36:42 +0000 2025"",""0"",""(+) iyh gua cinta fore tp MAHAL"",""1895498368849514985"","""",""iijiillii"",""in"",""166'24 – 150'24"",""0"",""0"",""0"",""https://x.com/iijiillii/status/1895498368849514985"",""1785159339583606784"",""iijiillii""";;;;;;
"1895498365343092937,""Fri Feb 28 15:36:41 +0000 2025"",""0"","" km terlalu fore buat aku yg terlalu jumpstart @civillainn akbar 2025"",""1895498365343092937"","""","""",""in"",""166'24 – 150'24"",""0"",""2"",""0"",""https://x.com/iijiillii/status/1895498365343092937"",""1785159339583606784"",""iijiillii""";;;;;;
"1895497651212492918,""Fri Feb 28 15:33:51 +0000 2025"",""0"",""Ya gimana fore udah nempel dimulut https://t.co/tzUl1ayOyC"",""1895497651212492918"",""https://pbs.twimg.com/media/Gk4pET2bIAAOqb4.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/frdillag/status/1895497651212492918"",""1820291495167238144"",""frdillag""";;;;;;
"1895497348840931448,""Fri Feb 28 15:32:39 +0000 2025"",""2"",""i love fore semoga yg bikin fore masuk surga"",""1895497348840931448"","""","""",""in"",""166'24 – 150'24"",""0"",""1"",""1"",""https://x.com/iijiillii/status/1895497348840931448"",""1785159339583606784"",""iijiillii""";;;;;;
"1895495512318783782,""Fri Feb 28 15:25:21 +0000 2025"",""0"",""semoga lambung aman besok.. Soalnya hari ini minum fore banyak banget makam cirawit pula"",""1895495512318783782"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/strongirrlll/status/1895495512318783782"",""1224971718428545026"",""strongirrlll""";;;;;;
"1895495500100731278,""Fri Feb 28 15:25:18 +0000 2025"",""0"",""masih fore butterschotch sea salt latte"",""1895495500100731278"","""","""",""in"",""dnf wo consent"",""0"",""0"",""0"",""https://x.com/sukajajaan/status/1895495500100731278"",""1809966560448299008"",""sukajajaan""";;;;;;
"1895494251708104872,""Fri Feb 28 15:20:20 +0000 2025"",""0"",""Abis makan pedes sama fore banyak banget . Semoga besok lambung aman"",""1895494251708104872"","""","""",""in"",""West Java"",""0"",""0"",""0"",""https://x.com/kookiepi/status/1895494251708104872"",""2487401196"",""kookiepi""";;;;;;
"1895476572783849744,""Fri Feb 28 15:18:38 +0000 2025"",""0"",""@goteachothers kantorku kalo telat potong 50k mayan bisa jajan fore "",""1895493823356375196"","""",""goteachothers"",""in"","""",""0"",""1"",""0"",""https://x.com/onigirimayooo/status/1895493823356375196"",""1406487643802664972"",""onigirimayooo""";;;;;;
"1895482024418537579,""Fri Feb 28 14:58:57 +0000 2025"",""0"",""@cleoesdingin @kredivo Iya kak va bca padahal biasanya langsung berubah help @kredivo"",""1895488870424453368"","""",""cleoesdingin"",""in"",""Since 2021"",""0"",""2"",""0"",""https://x.com/tinystaar/status/1895488870424453368"",""759644152262864897"",""tinystaar""";;;;;;
"1895442572883218434,""Fri Feb 28 14:58:38 +0000 2025"",""0"",""@jiubora @kredivo Kak mau update dong kalo udah ada perubahan :("",""1895488790644547890"","""",""jiubora"",""in"",""Since 2021"",""0"",""1"",""0"",""https://x.com/tinystaar/status/1895488790644547890"",""759644152262864897"",""tinystaar""";;;;;;
"1895132555625799817,""Fri Feb 28 14:54:36 +0000 2025"",""0"",""@chocopieezzzzzz Cakep banget barista fore perintis andalanku wkwkwkwwkwkwk sekilas mirip Angga Yunanda "",""1895487776256393399"","""",""chocopieezzzzzz"",""in"","""",""0"",""0"",""0"",""https://x.com/Brian1665636467/status/1895487776256393399"",""1817104157335257091"",""Brian1665636467""";;;;;;
"1895442572883218434,""Fri Feb 28 14:51:18 +0000 2025"",""0"",""@jiubora @kredivo Kak mjb udah berubah belum?"",""1895486944861430214"","""",""jiubora"",""in"",""Since 2021"",""0"",""1"",""0"",""https://x.com/tinystaar/status/1895486944861430214"",""759644152262864897"",""tinystaar""";;;;;;
"1895482024418537579,""Fri Feb 28 14:50:30 +0000 2025"",""0"",""@cleoesdingin @kredivo Bolehhh kak"",""1895486743862014114"","""",""cleoesdingin"",""in"",""Since 2021"",""0"",""1"",""0"",""https://x.com/tinystaar/status/1895486743862014114"",""759644152262864897"",""tinystaar""";;;;;;
"1895467925546664190,""Fri Feb 28 14:49:58 +0000 2025"",""0"",""tp hari ini gagal challenge utk tdk ngopi sampe lebaran krn td beli fore"",""1895486608763421169"","""",""arntsaaa"",""in"",""she/her"",""0"",""0"",""0"",""https://x.com/arntsaaa/status/1895486608763421169"",""1131706989287895040"",""arntsaaa""";;;;;;
"1895485253055389823,""Fri Feb 28 14:44:35 +0000 2025"",""1"",""SELAMAT PUASA TRMEN TEMEN MAFIN KALAU ADA SALAH KALAU GAK ADA YA GPP jgn lupa fore before ramadhan https://t.co/rVPzxPy203"",""1895485253055389823"",""https://pbs.twimg.com/media/Gk4dwaDW8AAlQD2.jpg"","""",""in"",""dnss cok!!!!!"",""0"",""1"",""0"",""https://x.com/LiliENHYPEN/status/1895485253055389823"",""1149266774161887233"",""LiliENHYPEN""";;;;;;
